Vancouver Whitecaps FC vs. Houston Dynamo,20160528,0,75,60,15,http://pacificblvd.squarespace.com/storage/620_whitecaps.jpg?__SQUARESPACE_CACHEVERSION=1331009166559,BC Place
Vancouver Whitecaps FC 2016 Amway Canadian Championship Semi Final,20160608,0,90,75,15,http://pacificblvd.squarespace.com/storage/620_whitecaps.jpg?__SQUARESPACE_CACHEVERSION=1331009166559,BC Place
Canada V. Japan Men's International Rugby,20160611,0,70,60,10,http://www.canadarugbyleague.com/images/news/feature/canada_logo.jpg,BC Place
BC Lions vs. Calgary Stampeders,20160617,0,87,75,20,http://i.cbc.ca/1.3098549.1433346281!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/bc-lions.jpg,BC Place
Vancouver Whitecaps FC vs. New England Revolution,20160618,0,75,50,15,http://pacificblvd.squarespace.com/storage/620_whitecaps.jpg?__SQUARESPACE_CACHEVERSION=1331009166559,BC Place
